Ürün Adı,Fiyat,Ekran Boyutu,Bellek (RAM),İşlemci Modeli,Teknik Puan,Link
MSI Creator 15 A10SET-078TR,16999.0,15.6 İnç,16 GB,Intel Core i7-10875H,66.0,https://www.epey.com/laptop/msi-creator-15-a10set-078tr.html
Dell G15 Gaming 5511 SIF15TGLH22012801P07,20756.04,15.6 İnç,64 GB,Intel Core i7-11800H,66.0,https://www.epey.com/laptop/dell-g15-gaming-5511-sif15tglh22012801p07.html
Huawei MateBook 14 R7 (16GB/512SSD),,14.0 İnç,16 GB,AMD Ryzen 7 4800H,,https://track.adform.net/C/?bn=50429250
MSI WF65 Mobile Workstation 10TJ-826TR,22776.25,15.6 İnç,16 GB,Intel Core i7-10750H,60.0,https://www.epey.com/laptop/msi-wf65-mobile-workstation-10tj-826tr.html
HP Pavilion Gaming 15-dk2011nt (4G8Q9EA),11391.57,15.6 İnç,16 GB,Intel Core i5-11300H,60.0,https://www.epey.com/laptop/hp-pavilion-gaming-15-dk2011nt-4g8q9ea.html
Lenovo IdeaPad Gaming 3 81Y400D2TX,11999.0,15.6 İnç,16 GB,Intel Core i7-10750H,60.0,https://www.epey.com/laptop/lenovo-ideapad-gaming-3-81y400d2tx.html
Lenovo IdeaPad Gaming 3 81Y400N0TX,12799.0,15.6 İnç,16 GB,Intel Core i7-10750H,60.0,https://www.epey.com/laptop/lenovo-ideapad-gaming-3-81y400n0tx.html
Casper Excalibur G770.1140-DFJ0P-B,12634.05,15.6 İnç,32 GB,Intel Core i5-11400H,60.0,https://www.epey.com/laptop/casper-excalibur-g770-1140-dfj0p-b.html
Dell Precision 7550 TKNM7550RKS5M06,41799.05,15.6 İnç,32 GB,Intel Xeon W-10855M,60.0,https://www.epey.com/laptop/dell-precision-7550-tknm7550rks5m06.html
MSI Katana GF66 11UD-209TR,16005.0,15.6 İnç,8 GB,Intel Core i7-11800H,60.0,https://www.epey.com/laptop/msi-katana-gf66-11ud-209tr.html
Dell G15 Gaming 5510 6B870D5F16C,13149.0,15.6 İnç,16 GB,Intel Core i7-10870H,60.0,https://www.epey.com/laptop/dell-g15-gaming-5510-6b870d5f16c.html
Casper Excalibur G770.1140-BVJ0X-B,10322.07,15.6 İnç,16 GB,Intel Core i5-11400H,60.0,https://www.epey.com/laptop/casper-excalibur-g770-1140-bvj0x-b.html
MSI GL65 Leopard 10SDR-492A7,16538.55,15.6 İnç,32 GB,Intel Core i7-10750H,60.0,https://www.epey.com/laptop/msi-gl65-leopard-10sdr-492a7.html
Huawei MateBook 14 R7 (16GB/512SSD),9501.0,14.0 İnç,16 GB,AMD Ryzen 7 4800H,60.0,https://www.epey.com/laptop/huawei-matebook-14-r7-16gb-512ssd.html
"Microsoft Surface Book 3 13.5"" SLM-00001",30035.6,13.5 İnç,32 GB,Intel Core i7-1065G7,60.0,https://www.epey.com/laptop/microsoft-surface-book-3-13-5-slm-00001.html
Lenovo ThinkPad X1 Extreme 20TKS0QK00,25248.18,15.6 İnç,16 GB,Intel Core i7-10750H,60.0,https://www.epey.com/laptop/lenovo-thinkpad-x1-extreme-20tks0qk00.html
MSI GS65 Stealth 9SE-1476TR,15523.0,15.6 İnç,16 GB,Intel Core i7-9750H,60.0,https://www.epey.com/laptop/msi-gs65-9se-1476tr.html
Dell Precision 7550 TKNM7550RKS5M05,40944.05,15.6 İnç,32 GB,Intel Xeon W-10855M,60.0,https://www.epey.com/laptop/dell-precision-7550-tknm7550rks5m05.html
Game Garaj Fenix 10TN-C01,13666.49,15.6 İnç,16 GB,Intel Core i7-10750H,60.0,https://www.epey.com/laptop/game-garaj-fenix-10tn-c01-siyah.html
Asus ROG Strix G15 G512LW-HN168,21449.02,15.6 İnç,16 GB,Intel Core i7-10875H,59.0,https://www.epey.com/laptop/asus-rog-strix-g15-g512lw-hn168.html
MSI GL65 Leopard 10SDR-492A6,15816.55,15.6 İnç,32 GB,Intel Core i7-10750H,59.0,https://www.epey.com/laptop/msi-gl65-leopard-10sdr-492a6.html
Dell G15 Gaming 5510 6B870D5F16C05,18308.04,15.6 İnç,64 GB,Intel Core i7-10870H,59.0,https://www.epey.com/laptop/dell-g15-gaming-5510-6b870d5f16c05.html
MSI GL65 Leopard 10SDR-492A9,17944.55,15.6 İnç,64 GB,Intel Core i7-10750H,59.0,https://www.epey.com/laptop/msi-gl65-leopard-10sdr-492a9.html
HP Pavilion Aero 13-be0000nt (4H0N9EA),11494.05,13.3 İnç,16 GB,AMD Ryzen 7 5800U,59.0,https://www.epey.com/laptop/hp-pavilion-aero-13-be0000nt-4h0n9ea.html
HP ZBook Studio G7 (1J3W1EA),27444.62,15.6 İnç,16 GB,Intel Core i7-10850H,59.0,https://www.epey.com/laptop/hp-zbook-studio-g7-1j3w1ea.html
Lenovo ThinkPad P15 20ST003NTX,25172.04,15.6 İnç,16 GB,Intel Core i7-10750H,59.0,https://www.epey.com/laptop/lenovo-thinkpad-p15-20st003ntx.html
MSI GF65 Thin 10UE-045XTR,16744.99,15.6 İnç,16 GB,Intel Core i7-10750H,59.0,https://www.epey.com/laptop/msi-gf65-thin-10ue-045xtr.html
Game Garaj Tracer 7TN-04,14367.57,15.6 İnç,32 GB,Intel Core i7-10750H,59.0,https://www.epey.com/laptop/game-garaj-tracer-7tn-04.html
Dell Precision 7550 TKNM7550RKS5M04,40089.06,15.6 İnç,32 GB,Intel Xeon W-10855M,59.0,https://www.epey.com/laptop/dell-precision-7550-tknm7550rks5m04.html
Acer Predator Helios 300 PH315-53-71ZR,20699.0,15.6 İnç,32 GB,Intel Core i7-10750H,59.0,https://www.epey.com/laptop/acer-predator-helios-300-ph315-53-71zr.html
Dell Precision M5540 DENVER,26269.0,15.6 İnç,16 GB,Intel Xeon E-2276M,59.0,https://www.epey.com/laptop/dell-precision-m5540-denver.html
Lenovo IdeaPad Gaming 3 81Y400XLTX,12305.34,15.6 İnç,16 GB,Intel Core i7-10750H,59.0,https://www.epey.com/laptop/lenovo-ideapad-gaming-3-81y400xltx.html
Dell G15 Gaming 5510 6B870D5F16C04,17588.04,15.6 İnç,64 GB,Intel Core i7-10870H,59.0,https://www.epey.com/laptop/dell-g15-gaming-5510-6b870d5f16c04.html
Acer Predator Helios 300 PH315-53-74WW,18998.99,15.6 İnç,16 GB,Intel Core i7-10750H,59.0,https://www.epey.com/laptop/acer-predator-helios-300-ph315-53-74ww.html
Casper Excalibur G770.1140-BVL0P-B,13399.0,15.6 İnç,16 GB,Intel Core i5-11400H,59.0,https://www.epey.com/laptop/casper-excalibur-g770-1140-bvl0p-b.html
MSI GL65 Leopard 10SDR-492A8,17222.55,15.6 İnç,64 GB,Intel Core i7-10750H,59.0,https://www.epey.com/laptop/msi-gl65-leopard-10sdr-492a8.html
HP Pavilion Gaming 15-dk2024nt (4G8S2EA),10249.55,15.6 İnç,16 GB,Intel Core i5-11300H,59.0,https://www.epey.com/laptop/hp-pavilion-gaming-15-dk2024nt-4g8s2ea.html
Asus GX700VO-GB012T,35956.43,17.3 İnç,64 GB,Intel Core i7-6820HK,59.0,https://www.epey.com/laptop/asus-gx700vo-gb012t.html
Huawei MateBook 14 R7 (16GB/512SSD),,14.0 İnç,16 GB,AMD Ryzen 7 4800H,,https://track.adform.net/C/?bn=50429250
Game Garaj Slayer 5XL-3050Ti C2,11484.72,17.3 İnç,16 GB,Intel Core i5-11400H,62.0,https://www.epey.com/laptop/game-garaj-slayer-5xl-3050ti-c2.html
HP Pavilion Gaming 17-cd1020nt (4G6H1EA),13737.96,17.3 İnç,16 GB,Intel Core i7-10750H,62.0,https://www.epey.com/laptop/hp-pavilion-gaming-17-cd1020nt-4g6h1ea.html
HP Pavilion Gaming 15-dk1038nt (3Y4U7EA),12740.99,15.6 İnç,16 GB,Intel Core i7-10750H,62.0,https://www.epey.com/laptop/hp-pavilion-gaming-15-dk1038nt-3y4u7ea.html
MSI GL65 9SD-013TR,14550.0,15.6 İnç,16 GB,Intel Core i7-9750H,62.0,https://www.epey.com/laptop/msi-gl65-9sd-013tr.html
Dell G15 Gaming 5511 SIF15TGLH22012801P01,17929.48,15.6 İnç,16 GB,Intel Core i7-11800H,62.0,https://www.epey.com/laptop/dell-g15-gaming-5511-sif15tglh22012801p01.html
MSI Summit E15 A11SCST-070TR,16199.0,15.6 İnç,16 GB,Intel Core i7-1185G7,61.0,https://www.epey.com/laptop/msi-summit-e15-a11scst-070tr.html
Game Garaj Slayer 5-3050Ti C2,11037.84,15.6 İnç,16 GB,Intel Core i5-11400H,61.0,https://www.epey.com/laptop/game-garaj-slayer-5-3050ti-c2.html
"Lenovo Legion 5 (15.6"") 81Y600NTTX",16739.07,15.6 İnç,16 GB,Intel Core i7-10750H,61.0,https://www.epey.com/laptop/lenovo-legion-5-15-6-81y600nttx.html
Dell G15 Gaming 5511 SIF15TGLH22012801P02,17588.04,15.6 İnç,16 GB,Intel Core i7-11800H,61.0,https://www.epey.com/laptop/dell-g15-gaming-5511-sif15tglh22012801p02.html
Game Garaj Fenix 10TN-C03,15145.92,15.6 İnç,32 GB,Intel Core i7-10750H,61.0,https://www.epey.com/laptop/game-garaj-fenix-10tn-c03.html
Asus ROG Zephyrus M15 GU502LW-BI7N6,17854.81,15.6 İnç,16 GB,Intel Core i7-10750H,61.0,https://www.epey.com/laptop/asus-rog-zephyrus-m15-gu502lw-bi7n6.html
Dell G15 Gaming 5510 6B870D5F16C02,15908.04,15.6 İnç,32 GB,Intel Core i7-10870H,61.0,https://www.epey.com/laptop/dell-g15-gaming-5510-6b870d5f16c02.html
MSI Summit E16 Flip A11UCT-011TR,19229.75,16.0 İnç,16 GB,Intel Core i7-1195G7,61.0,https://www.epey.com/laptop/msi-summit-e16-flip-a11uct-011tr.html
HP ZBook Power G7 (2C9N0EA),27501.55,15.6 İnç,16 GB,Intel Xeon W-10885M,61.0,https://www.epey.com/laptop/hp-zbook-power-g7-2c9n0ea.html
Casper Excalibur G770.1180-BFJ0X-B,12159.05,15.6 İnç,16 GB,Intel Core i7-11800H,61.0,https://www.epey.com/laptop/casper-excalibur-g770-1180-bfj0x-b.html
Monster Abra A7 V11.5.3,13455.99,17.3 İnç,16 GB,Intel Core i7-11800H,61.0,https://www.epey.com/laptop/monster-abra-a7-v11-5-3.html
Casper Excalibur G770.1140-DFL0P-B,13999.0,15.6 İnç,32 GB,Intel Core i5-11400H,61.0,https://www.epey.com/laptop/casper-excalibur-g770-1140-dfl0p-b.html
HP ENVY 15-ep0007nt (284M1EA),18520.25,15.6 İnç,32 GB,Intel Core i7-10750H,61.0,https://www.epey.com/laptop/hp-envy-15-ep0007nt-284m1ea.html
MSI Stealth 15M A11UEK-035XTR,16552.14,15.6 İnç,16 GB,Intel Core i7-11375H,61.0,https://www.epey.com/laptop/msi-stealth-15m-a11uek-035xtr.html
Monster Abra A5 V17.1.3,10535.8,15.6 İnç,16 GB,Intel Core i5-11400H,61.0,https://www.epey.com/laptop/monster-abra-a5-v17-1-3.html
Lenovo ThinkPad P17 20SN004HTX,37384.67,17.3 İnç,16 GB,Intel Core i7-10750H,61.0,https://www.epey.com/laptop/lenovo-thinkpad-p17-20sn004htx.html
HP ZBook Studio G7 (1J3T6EA),35766.55,15.6 İnç,32 GB,Intel Core i7-10850H,61.0,https://www.epey.com/laptop/hp-zbook-studio-g7-1j3t6ea.html
MSI Summit E15 A11SCST-417TR,15974.05,15.6 İnç,16 GB,Intel Core i7-1185G7,61.0,https://www.epey.com/laptop/msi-summit-e15-a11scst-417tr.html
HP Pavilion Gaming 15-ec2031nt (4G8T7EA),10295.01,15.6 İnç,8 GB,AMD Ryzen 7 5800H,61.0,https://www.epey.com/laptop/hp-pavilion-gaming-15-ec2031nt-4g8t7ea.html
HP Pavilion Gaming 15-dk2002nt (4G8Q0EA),13255.99,15.6 İnç,16 GB,Intel Core i7-11370H,61.0,https://www.epey.com/laptop/hp-pavilion-gaming-15-dk2002nt-4g8q0ea.html
Asus TUF Dash F15 FX516PM-HN025T,19498.91,15.6 İnç,16 GB,Intel Core i7-11370H,61.0,https://www.epey.com/laptop/asus-tuf-dash-f15-fx516pm-hn025t.html
MSI GF75 Thin 10UE-083TR,17544.99,17.3 İnç,16 GB,Intel Core i7-10750H,61.0,https://www.epey.com/laptop/msi-gf75-thin-10ue-083tr.html
Dell G15 Gaming 5510 6B870D5F16C11,20036.04,15.6 İnç,64 GB,Intel Core i7-10870H,61.0,https://www.epey.com/laptop/dell-g15-gaming-5510-6b870d5f16c11.html
Lenovo ThinkPad P53 20QN002PTX,24658.58,15.6 İnç,16 GB,Intel Core i7-9850H,60.0,https://www.epey.com/laptop/lenovo-thinkpad-p53-20qn002ptx.html
MSI GT63 Titan 8SG-034XTR,25649.05,15.6 İnç,16 GB,Intel Core i7-8750H,60.0,https://www.epey.com/laptop/msi-gt63-8sg-034xtr.html
Dell Precision 7550 TKNM7550RKS5M07,42654.05,15.6 İnç,32 GB,Intel Xeon W-10855M,60.0,https://www.epey.com/laptop/dell-precision-7550-tknm7550rks5m07.html
Dell G15 Gaming 5510 6B870D5F16C10,19316.04,15.6 İnç,64 GB,Intel Core i7-10870H,60.0,https://www.epey.com/laptop/dell-g15-gaming-5510-6b870d5f16c10.html
HP Pavilion Gaming 15-dk2035nt (4H0V6EA),16862.46,15.6 İnç,16 GB,Intel Core i7-11370H,60.0,https://www.epey.com/laptop/hp-pavilion-gaming-15-dk2035nt-4h0v6ea.html
Lenovo IdeaPad Gaming 3 81Y400D0TX,12628.47,15.6 İnç,16 GB,Intel Core i7-10750H,60.0,https://www.epey.com/laptop/lenovo-ideapad-gaming-3-81y400d0tx.html
"Lenovo Legion 5 (17.3"") 81Y8009NTX",17468.66,17.3 İnç,16 GB,Intel Core i7-10750H,60.0,https://www.epey.com/laptop/lenovo-legion-5-17-3-81y8009ntx.html
Huawei MateBook 14 R7 (16GB/512SSD),,14.0 İnç,16 GB,AMD Ryzen 7 4800H,,https://track.adform.net/C/?bn=50429250
Casper Excalibur G911.1198-EN80H-C,46599.0,16.0 İnç,64 GB,Intel Core i9-11980HK,80.0,https://www.epey.com/laptop/casper-excalibur-g911-1198-en80h-c.html
HP ZBook Studio G8 (314G8EA),41324.05,15.6 İnç,32 GB,Intel Core i7-11850H,79.0,https://www.epey.com/laptop/hp-zbook-studio-g8-314g8ea.html
Casper Excalibur G900.1180-ES80R-B,37334.05,15.6 İnç,64 GB,Intel Core i7-11800H,79.0,https://www.epey.com/laptop/casper-excalibur-g900-1180-es80r-b.html
MSI Creator Z16 A11UET-099TR,35069.0,15.6 İnç,32 GB,Intel Core i9-11900H,79.0,https://www.epey.com/laptop/msi-creator-z16-a11uet-099tr.html
Gigabyte AERO 17 HDR YD,44893.2,17.3 İnç,32 GB,Intel Core i9-11980HK,79.0,https://www.epey.com/laptop/gigabyte-aero-17-hdr-yd.html
Casper Excalibur G900.1180-D780R-B,25439.04,15.6 İnç,32 GB,Intel Core i7-11800H,79.0,https://www.epey.com/laptop/casper-excalibur-g900-1180-d780r-b.html
Casper Excalibur G911.1198-EX80H-C,38299.0,16.0 İnç,64 GB,Intel Core i9-11980HK,78.0,https://www.epey.com/laptop/casper-excalibur-g911-1198-ex80h-c.html
MSI GE76 Dragon Tiamat 11UH-264TR,50025.86,17.3 İnç,64 GB,Intel Core i9-9980HK,77.0,https://www.epey.com/laptop/msi-ge76-dragon-tiamat-11uh-264tr.html
Casper Excalibur G900.1180-D770X-B,20299.0,15.6 İnç,32 GB,Intel Core i7-11800H,77.0,https://www.epey.com/laptop/casper-excalibur-g900-1180-d770x-b.html
MSI Creator Z16 A11UET-018TR,32010.0,15.6 İnç,32 GB,Intel Core i7-11800H,77.0,https://www.epey.com/laptop/msi-creator-z16-a11uet-018tr.html
Gigabyte AORUS 15P YD,36065.8,15.6 İnç,32 GB,Intel Core i7-11800H,76.0,https://www.epey.com/laptop/gigabyte-aorus-15p-yd.html
MSI Creator 17 B11UG-420TR,34559.04,17.3 İnç,32 GB,Intel Core i7-11800H,76.0,https://www.epey.com/laptop/msi-creator-17-b11ug-420tr.html
MSI GE76 Raider 11UH-437XTR,36836.61,17.3 İnç,32 GB,Intel Core i7-11800H,76.0,https://www.epey.com/laptop/msi-ge76-raider-11uh-437xtr.html
Asus ROG Strix Scar 17 G733QS-HG156,40198.99,17.3 İnç,16 GB,AMD Ryzen 9 5900HX,76.0,https://www.epey.com/laptop/asus-rog-strix-scar-17-g733qs-hg156.html
Dell XPS 17-9710 XPS179710CMLH1900P,38373.9,17.0 İnç,16 GB,Intel Core i9-11900H,75.0,https://www.epey.com/laptop/dell-xps-17-9710-xps179710cmlh1900p.html
Gigabyte AERO 15 OLED XD,28944.0,15.6 İnç,32 GB,Intel Core i7-11800H,75.0,https://www.epey.com/laptop/gigabyte-aero-15-oled-xd.html
Gigabyte AERO 15 OLED YD,34675.0,15.6 İnç,16 GB,Intel Core i7-11800H,75.0,https://www.epey.com/laptop/gigabyte-aero-15-oled-yd.html
Casper Excalibur G900.1180-EQ80R-B,28199.0,15.6 İnç,64 GB,Intel Core i7-11800H,75.0,https://www.epey.com/laptop/casper-excalibur-g900-1180-eq80r-b.html
Asus ROG Strix Scar 17 G733QS-HG027,34389.05,17.3 İnç,16 GB,AMD Ryzen 9 5900HX,75.0,https://www.epey.com/laptop/asus-rog-strix-scar-17-g733qs-hg027.html
MSI GE76 Raider 11UG-260XTR,29404.99,17.3 İnç,16 GB,Intel Core i7-11800H,75.0,https://www.epey.com/laptop/msi-ge76-raider-11ug-260xtr.html
MSI GS76 Stealth 11UH-210TR,38344.99,17.3 İnç,32 GB,Intel Core i7-11800H,75.0,https://www.epey.com/laptop/msi-gs76-stealth-11uh-210tr.html
Asus ROG Strix G15 G513QR-HF202T,29999.0,15.6 İnç,16 GB,AMD Ryzen 9 5900HX,75.0,https://www.epey.com/laptop/asus-rog-strix-g15-g513qr-hf202t.html
Gigabyte AERO 17 HDR XD,33444.0,17.3 İnç,16 GB,Intel Core i7-11800H,75.0,https://www.epey.com/laptop/gigabyte-aero-17-hdr-xd.html
Casper Excalibur G900.1180-D770R-B,21499.0,15.6 İnç,32 GB,Intel Core i7-11800H,74.0,https://www.epey.com/laptop/casper-excalibur-g900-1180-d770r-b.html
Monster Tulpar T5 V21.7.1,21497.8,15.6 İnç,16 GB,Intel Core i7-11800H,74.0,https://www.epey.com/laptop/monster-tulpar-t5-v21-7-1.html
Monster Tulpar T7 V21.8.1,23482.3,17.3 İnç,16 GB,Intel Core i7-11800H,74.0,https://www.epey.com/laptop/monster-tulpar-t7-v21-8-1.html
Casper Excalibur G900.1180-DQ80X-B,23654.05,15.6 İnç,32 GB,Intel Core i7-11800H,74.0,https://www.epey.com/laptop/casper-excalibur-g900-1180-dq80x-b.html
MSI Creator 17 B11UE-421TR,33453.0,17.3 İnç,32 GB,Intel Core i7-11800H,74.0,https://www.epey.com/laptop/msi-creator-17-b11ue-421tr.html
MSI Creator Z16 A11UET-206TR,32577.0,15.6 İnç,16 GB,Intel Core i7-11800H,74.0,https://www.epey.com/laptop/msi-creator-z16-a11uet-206tr.html
Casper Excalibur G900.1180-B660A-B,19999.0,15.6 İnç,16 GB,Intel Core i7-11800H,74.0,https://www.epey.com/laptop/casper-excalibur-g900-1180-b660a-b.html
Casper Excalibur G900.1180-EQ70R-B,22799.0,15.6 İnç,64 GB,Intel Core i7-11800H,74.0,https://www.epey.com/laptop/casper-excalibur-g900-1180-eq70r-b.html
HP Omen 15-en1021nt (4H1U4EA),21130.0,15.6 İnç,16 GB,AMD Ryzen 7 5800H,74.0,https://www.epey.com/laptop/hp-omen-15-en1021nt-4h1u4ea.html
Lenovo ThinkPad P15 20ST000FTX11,40754.06,15.6 İnç,128 GB,Intel Core i7-10850H,74.0,https://www.epey.com/laptop/lenovo-thinkpad-p15-20st000ftx11.html
Dell XPS 17-9710 XPS179710CMLH1700P,30636.55,17.0 İnç,16 GB,Intel Core i7-11800H,73.0,https://www.epey.com/laptop/dell-xps-17-9710-xps179710cmlh1700p.html
Lenovo ThinkPad P15 20ST000FTX08,39851.55,15.6 İnç,128 GB,Intel Core i7-10850H,73.0,https://www.epey.com/laptop/lenovo-thinkpad-p15-20st000ftx08.html
Huawei MateBook 14 R7 (16GB/512SSD),,14.0 İnç,16 GB,AMD Ryzen 7 4800H,,https://track.adform.net/C/?bn=50429250
Casper Excalibur G900.1180-B660X-B,14693.07,15.6 İnç,16 GB,Intel Core i7-11800H,73.0,https://www.epey.com/laptop/casper-excalibur-g900-1180-b660x-b.html
MSI GE66 Raider 11UG-262TR,27899.07,15.6 İnç,16 GB,Intel Core i7-11800H,73.0,https://www.epey.com/laptop/msi-ge66-raider-11ug-262tr.html
Casper Excalibur G900.1180-BQ70R-B,18785.07,15.6 İnç,16 GB,Intel Core i7-11800H,73.0,https://www.epey.com/laptop/casper-excalibur-g900-1180-bq70r-b.html
Gigabyte AERO 15 OLED KD,22249.0,15.6 İnç,16 GB,Intel Core i7-11800H,73.0,https://www.epey.com/laptop/gigabyte-aero-15-oled-kd.html
Asus ROG Strix G15 G513QR-HF217,27527.07,15.6 İnç,16 GB,AMD Ryzen 9 5900HX,73.0,https://www.epey.com/laptop/asus-rog-strix-g15-g513qr-hf217.html
Asus ROG Strix G15 G513QR-HF012,29417.42,15.6 İnç,16 GB,AMD Ryzen 9 5900HX,73.0,https://www.epey.com/laptop/asus-rog-strix-g15-g513qr-hf012.html
